"Serie","Folio","cfdiUUID","Tipo","Fecha","Hora","RFC","Receptor","Estado","Primer Concepto","Forma de pago","Método de pago","Moneda","Tipo de Cambio","Subtotal","Impuesto Retenido IVA","Impuesto Retenido ISR","Impuesto Trasladado IVA","Impuesto Trasladado IEPS","Impuesto Local Retenido","Impuesto Local Trasladado","Descuento","Total","Fecha Inicial de Pago","Fecha Final de Pago","Subtotal MXN","Impuesto Retenido IVA MXN","Impuesto Retenido ISR MXN","Impuesto Trasladado IVA MXN","Impuesto Trasladado IEPS MXN","Impuesto Local Retenido MXN","Impuesto Local Trasladado MXN","Descuento MXN","Total MXN",
"","135","8FEBEC1E-7F20-41A2-A7BC-DC8F7489A833","Factura","22/01/2018","11:34:57","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","4000.00","0.00","0.00","640.00","0.00","0.00","0.00","0.00","4640.00","","","4000.00","0.00","0.00","640.00","0.00","0.00","0.00","0.00","4640.00","",""
"","136","E86D8010-260A-4635-9F6D-D1CD2AC33534","Factura","20/02/2018","07:20:13","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","137","DEB31ABD-A8A2-45BE-89ED-3876114A89B6","Factura","26/03/2018","09:47:45","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","138","CA2AF2F7-1E8D-4178-84AF-CAA2EB8010CD","Factura","30/04/2018","08:07:49","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","139","B5EE90CD-B83D-4B16-90AE-26AA27C4C445","Factura","28/05/2018","11:30:52","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","140","8AEFDD56-26E7-45F7-89FA-B6D4168298C4","Factura","28/06/2018","11:56:15","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","141","B16C6EC6-F48E-48AC-83B5-828CFCC1C3A5","Factura","23/07/2018","09:47:30","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","142","9D07C752-767D-472D-868B-44FCCB12320F","Factura","20/08/2018","04:25:14","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Efectivo","Pago en una sola exhibición","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","143","2639F389-B10E-4CBE-BEA3-B136B4673E77","Factura","23/09/2018","20:13:53","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","144","8C6335EB-FFAB-47B1-AF66-445998ED3643","Factura","22/10/2018","04:03:01","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
