"Serie","Folio","cfdiUUID","Tipo","Fecha","Hora","RFC","Receptor","Estado","Primer Concepto","Forma de pago","Método de pago","Moneda","Tipo de Cambio","Subtotal","Impuesto Retenido IVA","Impuesto Retenido ISR","Impuesto Trasladado IVA","Impuesto Trasladado IEPS","Impuesto Local Retenido","Impuesto Local Trasladado","Descuento","Total","Fecha Inicial de Pago","Fecha Final de Pago","Subtotal MXN","Impuesto Retenido IVA MXN","Impuesto Retenido ISR MXN","Impuesto Trasladado IVA MXN","Impuesto Trasladado IEPS MXN","Impuesto Local Retenido MXN","Impuesto Local Trasladado MXN","Descuento MXN","Total MXN",
"","172","CE469C05-41C7-4DC1-8A53-C95D549F1B9E","Complemento de Pagos","09/01/2020","19:42:43","CEL010427SV0","Celtas S de RL de CV","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","173","DCEC5C43-22CE-4921-B081-92BE12243BD1","Factura","26/01/2020","16:32:24","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","174","26E0C29F-E211-4E07-BA47-CEB62B41B3AD","Factura","26/01/2020","16:36:59","VUN1304106F5","21 UNICOS","Vigente","Servicio integral de jardineria","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","2000.00","0.00","0.00","320.00","0.00","0.00","0.00","0.00","2320.00","","","2000.00","0.00","0.00","320.00","0.00","0.00","0.00","0.00","2320.00","",""
"","175","B368C5ED-866E-4CAD-953E-33CC9F822056","Complemento de Pagos","08/02/2020","09:58:45","CEL010427SV0","Celtas S de RL de CV","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","176","763648CD-AF05-4BDB-9E16-4C67A358BAB9","Complemento de Pagos","22/02/2020","07:57:28","VUN1304106F5","21 UNICOS","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","177","365AD991-209E-4330-8107-8B946889AFE4","Factura","24/02/2020","10:41:09","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","178","F86240DA-9113-46A8-85F5-2791C5A67487","Factura","24/02/2020","10:51:05","VUN1304106F5","21 UNICOS","Vigente","Servicio integral de jardineria","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","2000.00","0.00","0.00","320.00","0.00","0.00","0.00","0.00","2320.00","","","2000.00","0.00","0.00","320.00","0.00","0.00","0.00","0.00","2320.00","",""
"","179","09780172-DCAC-4F90-8568-17A75BC357AA","Complemento de Pagos","20/03/2020","09:23:07","CEL010427SV0","Celtas S de RL de CV","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","180","672CC1FA-B924-48AF-8F61-39032E87043B","Complemento de Pagos","20/03/2020","09:49:33","VUN1304106F5","21 UNICOS","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","181","02A54293-D0EC-4FF8-8FB6-43BBE01BC434","Factura","22/03/2020","15:17:24","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","","","5000.00","0.00","0.00","800.00","0.00","0.00","0.00","0.00","5800.00","",""
"","182","208AE57A-B341-4B23-887F-B228ACE8A6FC","Factura","22/03/2020","15:32:53","VUN1304106F5","21 UNICOS","Vigente","Servicio integral de jardineria","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","2000.00","0.00","0.00","320.00","0.00","0.00","0.00","0.00","2320.00","","","2000.00","0.00","0.00","320.00","0.00","0.00","0.00","0.00","2320.00","",""
"","183","850859C9-DB5D-4BFB-AAA0-9750AB827431","Factura","12/04/2020","23:27:22","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","3500.00","0.00","0.00","560.00","0.00","0.00","0.00","1500.00","4060.00","","","3500.00","0.00","0.00","560.00","0.00","0.00","0.00","1500.00","4060.00","",""
"","184","0A028B4B-9BFF-42EC-B3A8-279B54846FE6","Complemento de Pagos","20/04/2020","21:48:29","CEL010427SV0","Celtas S de RL de CV","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","185","585DC891-101C-4998-ABD8-3E672B382147","Factura","26/05/2020","14:13:46","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","3500.00","0.00","0.00","560.00","0.00","0.00","0.00","1500.00","4060.00","","","3500.00","0.00","0.00","560.00","0.00","0.00","0.00","1500.00","4060.00","",""
"","186","EF7FB2E2-7AA4-459B-ABC1-3C5CF7142CC8","Complemento de Pagos","12/06/2020","19:09:59","CEL010427SV0","Celtas S de RL de CV","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","187","553D5212-3792-4032-AE7C-2AAF1C413EC5","Factura","25/06/2020","20:00:00","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","3500.00","0.00","0.00","560.00","0.00","0.00","0.00","1500.00","4060.00","","","3500.00","0.00","0.00","560.00","0.00","0.00","0.00","1500.00","4060.00","",""
"","188","65832EAC-4795-4405-AD63-ABA4C6F84ED8","Complemento de Pagos","29/06/2020","08:12:26","CEL010427SV0","Celtas S de RL de CV","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","189","41A85426-C343-4D4F-9B91-8DC6DEE3BAE1","Complemento de Pagos","03/07/2020","17:09:09","CEL010427SV0","Celtas S de RL de CV","Vigente","Pago","","","Los códigos asignados para las transacciones en que intervenga ninguna moneda","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","",""
"","190","1C83C891-EEF3-4567-A6FA-DA2DD5CA4F33","Factura","24/07/2020","00:36:15","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","4250.00","0.00","0.00","680.00","0.00","0.00","0.00","750.00","4930.00","","","4250.00","0.00","0.00","680.00","0.00","0.00","0.00","750.00","4930.00","",""
"","191","C185D365-B1A9-4E1A-B18E-F21F51ED833B","Factura","22/08/2020","12:21:35","CEL010427SV0","Celtas S de RL de CV","Vigente","Servicio de jardinería integral","Por definir","Pago en parcialidades o diferido","Peso Mexicano","","4250.00","0.00","0.00","680.00","0.00","0.00","0.00","750.00","4930.00","","","4250.00","0.00","0.00","680.00","0.00","0.00","0.00","750.00","4930.00","",""
